name,address,install_date,designation_date,artist,latitude,longitude,zip_code,type,description_of_artwork
Steuben Club Building,188 W Randolph St,1929,2006,Karl M. Vitzhum & Co.,41.88482916,-87.63360295,60601,Landmark,None
Hotel St. Benedict Flats,40-52 E Chicago Av,1882,1996,James J. Egan,41.89698041,-87.62644177,60611,Landmark,None
Cortland Street Drawbridge,1440 W Cortland St,1902,1991,John Ernst Ericson. Bridgehse reconst. 1982,41.91691727,-87.66431155,60642,Landmark,None
August Dewes House,509 W Wrightwood Av,1894,2005,Adolph Cudell & Arthur Hercz,41.93027815,-87.64176889,60614,Landmark,None
New York Life Building,37-43 S LaSalle St,1893,2006,1898 add:Jenney & Mundie 1903 add:Arch Unknown,41.88088658,-87.63174751,60603,Landmark,None
Tree Studios; Annexes and Courtyard,601-23 N State St/4-10 E Ohio St/3-7 E Ontario St,1894,1997,Parfitt Brothers; with Bauer & Hill,41.89287853,-87.62773715,60611,Landmark,None
Gwendolyn Brooks House,7428 S. Evans Ave,1890,2010,Unknown,41.75950344,-87.6070012,60619,Landmark,None
Spiegel Administration Building,1038 W. 35th Street,1936,2011,Battey & Kipp (1936); A. Epstein (1941-1942),41.83093188,-87.65200154,60609,Landmark,None
Union Park Hotel,1519 West Warren Blvd,1930,2010,Banjamin Albert Comm,41.88212992,-87.66615384,60607,Landmark,None
Reebie Storage Warehouse,2325-33 N Clark St,1921,1999,George Kingsley,41.92471948,-87.63944577,60614,Landmark,None
Essanay Studios,1333-35 W Argle St,1908,1996,Various Architects,41.97214865,-87.66333535,60640,Landmark,None
Calumet Park Fieldhouse,9801 S Avenue G,1922,2006,South Park Commission Architects,41.71773729,-87.53057838,60617,Landmark,None
Frederick C. Robie House,5757 S Woodlawn Av,1909,1971,Frank Lloyd Wright,41.78992032,-87.59597028,60637,Landmark,None
333 North Michigan Building,333 N Michigan Av,1928,1997,Holabird & Roche/Holabird & Root,41.88780778,-87.62420054,60601,Landmark,None
Sears; Roebuck and Company Administration Building,3333 W Arthington St,1905,2002,Nimmons & Fellows and George C. Nimmons & Co.,41.86968209,-87.70963237,60624,Landmark,None
Myron Bachman House,1244 W Carmen av,1948,1992,Bruce Goff,41.9748882,-87.66168184,60640,Landmark,None
Pennsylania Bridge,S Branch Chgo River; 19th St; SE of Lumber St,,2007,Unknown,41.85565852,-87.63700354,60616,Landmark,None
Chicago Varnish Company Building,33 W Kinzie St,1895,2001,Henry Ives Cobb,41.88899569,-87.62934802,60654,Landmark,None
(Former) Engine Company 104; Truck 3,1401 S Michigan Av,1905,2003,Charles F. Hermann,41.86395764,-87.62361007,60605,Landmark,None
James A. Sexton School,160 W Wendell St,1882,1978,Architect Unknown,41.90156831,-87.63384357,60610,Landmark,None
Tribune Tower,435 N Michigan Av,1922,1989,Raymond M. Hood and John Mead Howells,41.89046022,-87.62326507,60611,Landmark,None
Garfield Park Fieldhouse,100 N. Central park Ave,1928,2009,Unknown,41.882684,-87.7160686,60624,Landmark,None
John J. Glessner House,1800 S Prairie Av,1886,1970,Henry Hobson Richardson,41.85772464,-87.62121066,60616,Landmark,None
McCormick Double House,660 N Rush St,1875,2005,Frederick & Edward Baumann,41.89427876,-87.62572114,60611,Landmark,None
Richard Wright House,4831 S Vincennes Avenue,1893,2010,Unknown,41.80666963,-87.61349706,60615,Landmark,None
Rosehill Cemetery Entrance,5800 N Ravenswood Av,1864,1980,William W. Boyington,41.98659406,-87.67524668,60660,Landmark,None
(Former) Mid-City Trust and Savings Bank Buildings,2 S. Halsted Street,1911,2012,Horatio R. Wilson(Original Building),41.88148442,-87.64769505,60661,Landmark,None
Union Station,210 S Canal St,1913,2002,Graham; Anderson; Probst & White,41.8786699,-87.64035673,60606,Landmark,None
Alfred Caldwell Lily Pool,North end of Lincoln Park Zoo at Fullerton Parkway,1936,2002,Landscape Architect: Alfred Caldwell,41.92499923,-87.63396225,60614,Landmark,None
35 East Wacker Building,35 E Wacker Dr,1925,1994,Joachim G. Giaver & Frederick P. Dinkelberg,41.88651836,-87.62678477,60601,Landmark,None
Chicago Public Library/Cultural Center,78 E Washington St,1897,1976,Shepley; Rutan and Coolidge,41.88386466,-87.62499587,60602,Landmark,None
(Former) Engine Company 86,2414 W Cuyler Av,1899,2003,Board of Public Works,41.95519144,-87.68922824,60618,Landmark,None
Elks National Memorial Headquarters Building,2750 N Lakeview Ave,1924,2003,Egerton Swartwout,41.93228562,-87.63989765,60614,Landmark,None
Florsheim Shoe Company Building,3963 W Belmont Av,1924,2006,Alfred S. Alschuler,41.93861001,-87.7265989,60618,Landmark,None
S. Pond Refectory/Men's & Ladies Comfort Station,2019 N Stockton Dr; Chicago; IL,1908,2003,S Pond:Perkins&Hamilton Comfort:Joseph L Silsbee,41.9191052,-87.6340101,60614,Landmark,None
Reid; Murdoch and Company Building,320 N Clark St; Chicago; IL,1914,1976,George C. Nimmons,41.88812724,-87.63183147,60654,Landmark,None
Washington Block,40 N Wells St,1873,1997,Frederick & Edward Baumann,41.88295583,-87.63407766,60606,Landmark,None
Marshall Field and Company Building,111 N State St,1892,2005,Daniel H. Burham & Charles Atwood,41.8838568,-87.62703774,60602,Landmark,None
Monadnock Block,53 W Jackson Blvd,1889,1973,N1/2: Burham & Root; S1/2: Holabird & Roche,41.87753145,-87.62954581,60604,Landmark,None
Sydney A. Kent House,2944 S Michigan Av,1883,1987,Burnham and Root,41.84067686,-87.62400071,60616,Landmark,None
(Former) Engine Company 27,1244 N Wells St,1874,2003,1907 (add.) Board of Public Works,41.90516102,-87.63484794,60610,Landmark,None
Medinah Temple,600 N Wabash Av; Chicago; IL,1912,2001,Huehl & Schmid,41.89288778,-87.62714151,60611,Landmark,None
South Shore Cultural Center,7059 South Shore Dr,1906,2004,Marshall & Fox,41.76760866,-87.56441514,60649,Landmark,None
Old Colony Building,407 S Dearborn St,1894,1978,Holabird & Roche,41.87660759,-87.62897733,60605,Landmark,None
Lion House - Lincoln Park Zoo,2132 N Stockton Dr,1912,2005,Perkins; Fellows & Hamilton,41.92133817,-87.63333598,60614,Landmark,None
Statue of the Republic,Jackson Park at Hayes & Richards Drs,1918,2003,Daniel Chester French;sculptor&Henry Bacon;arch,41.77959613,-87.57988165,60649,Landmark,None
Crown Hall,3360 S State St,1950,1997,Ludwig Mies van der Rohe,41.83324517,-87.6272852,60616,Landmark,None
Inland Steel Building,30 W Monore St,1957,1998,Skidmore; Owings & Merrill,41.88107332,-87.62900319,60603,Landmark,None
Riviera Motor Sales Company Building,5948-60 N. Braodway,1925,2012,R. Bernard Kurzon,41.99064509,-87.66070278,60660,Landmark,None
Schlecht House,5804 W Race Av,1887,1999,Frederick Schock,41.89038609,-87.7703988,60644,Landmark,None
Ebenezer Missionary Baptist Church Building,4501 S. Vincennes Ave,1898,2011,Dankmar Adler,41.81283645,-87.61357454,60653,Landmark,None
Keck-Gottschalk-Keck Apartments,5551 S University Av,1937,1994,George and William Keck,41.79355086,-87.59770366,60637,Landmark,None
6901 Oglesby Cooperative Apartment Building,6901 S Oglesby Av,1928,2008,Paul Frederick Olsen,41.76959911,-87.56778516,60649,Landmark,None
(Former) Schlitz Brewery Stable Building,11314 S. Front Ave.,1906,2011,Frommann and Jebsen,41.68855888,-87.61215287,60628,Landmark,None
860-880 Lake Shore Drive,860-880 N Lake Shore Dr,1949,1996,Ludwig Mies van der Rohe,41.89884251,-87.61885733,60611,Landmark,None
F. R. Schock House,5804 W Midway Park,1886,1999,Frederick Schock,41.88932169,-87.77022252,60644,Landmark,None
John Raber House,5760 S LaFayette Av,1870,1996,Major Alterations; 1894;Thomas Wing,41.78921937,-87.62695294,60621,Landmark,None
Bryn Mawr Apartment Hotel,5550 N Kenmore Av,1927,2002,Alexander L. Levy & William J. Klein,41.98331134,-87.65700296,60640,Landmark,None
Charles N. Loucks House,3926 N Keeler,,2008,Unknown,41.95260359,-87.73287873,60641,Landmark,None
Edwin Colvin House,5940 N Sheridan Rd,1909,1994,George W. Maher,41.9903361,-87.65581666,60660,Landmark,None
Northwestern University Settlement House,1400 W Augusta Blvd,1901,1993,Pond & Pond,41.90004273,-87.6628741,60642,Landmark,None
Civic Opera Building,20 N Wacker Dr,1927,1998,Graham; Anderson; Probst & White,41.88253375,-87.637513,60606,Landmark,None
Engine Company 84; Truck 51,6204 S Green St,1929,2003,Paul Gerhardt; Jr.,41.78126631,-87.646397,60621,Landmark,None
Majestic Building and Theater,22 W Monore St,1906,2005,Edmund R. Krause,41.88107856,-87.62857776,60603,Landmark,None
(Former) Schlitz Brewery-Tied House@1801W.Division,1801 W. Division St.,1900,2011,Fritz Lang,41.90301324,-87.67254145,60622,Landmark,None
Engine Company 5; Truck 2,324 S DesPlaines Av,1928,2003,Alfred S. Alschulter,41.87718066,-87.64430864,60436,Landmark,None
John Wingert House,6231 N Canfield Av,1854,1990,Add. c. 1868-75 Architect Unknown,41.99430885,-87.82160659,60068,Landmark,None
Richard Nickel Studio,1810 West Cortland St;,1889,2010,Unknown,41.91627982,-87.67324118,60622,Landmark,None
Old Chicago Coast Guard Station,250 North Breakwater Access,,2007,Unknown,41.88764075,-87.61019755,60601,Landmark,None
Germania Club Building,108 W. Germania Place / 1538-1542 N. Clark St.,1889,2011,Addison and Fiedler,41.91061324,-87.63207758,60610,Landmark,None
Laramie State Bank Building,5200 W Chicago Av,1927,1995,Meyer & Cook with Northwestern Terra Cotta Co.,41.89520776,-87.75583758,60651,Landmark,None
Ida B. Wells-Barnett House,3624 S Dr Martin Luther King Jr Dr,1889,1995,Joseph A. Thain,41.82859199,-87.61773209,60616,Landmark,None
Clarence Buckingham Memorial Fountain and Garden,Grant Park at Congress Drive,1927,2000,Bennett; Parsons & Frost with Jacques Lambert,41.87579719,-87.61898793,60605,Landmark,None
Farwell Building,664 N Michigan Ave,1927,2004,Philip B. Maher,41.89431494,-87.62462078,60611,Landmark,None
Krause Music Store,4611 N Lincoln Av,1922,1977,William Presto ans Louis H. Sullivan,41.96533613,-87.68601082,60625,Landmark,None
Biograph Theater,2433-43 N Lincoln Av,1914,2001,Samuel N. Corwen,41.92652071,-87.64975918,60614,Landmark,None
Roanoke Building and Tower,11 S LaSalle St,,2007,Unknown,41.88170712,-87.63195358,60603,Landmark,None
Illinois-Indiana State Line Boundary Marker,Avenue G; near 103rd St,1838,2002,Office of the United States Surveyor-General,41.70886467,-87.52622269,60617,Landmark,None
Veseman Building,444 N LaSalle St,,2007,Unknown,41.89047915,-87.63288949,60654,Landmark,None
Charles Hitchcock House,5704 W Ohio St,1871,1992,Architect Unknown,41.8913214,-87.7680838,W,Landmark,None
K.A.M. Isaiah Israel Temple,1100 E Hyde Park Blvd,1924,1977,Alfred S. Alschuler,41.80282583,-87.59861639,60615,Landmark,None
Site of the John & Mary Jones House,SW Corner of W 9th St & Plymouth Ct,,2004,Unknown,41.86979498,-87.62956097,60605,Landmark,None
IBM Building,330 North Wabash Av,,2008,Unknown,41.88861449,-87.62750766,60611,Landmark,None
John Rath House,2703 W Logan Blvd,1907,1993,George W. Maher,41.92789833,-87.69530973,60647,Landmark,None
Bush Temple of Music,100 W Chicago Av; Chicago; IL,1901,2001,J.E.O. Pridmore,41.89690293,-87.63166847,60654,Landmark,None
Humboldt Park Boathouse Pavilion,1301 N Humboldt Blvd; Chicago; IL,1907,1996,Richard E. Schmidt;Garden & Martin w/ Jens Jenson,41.90562148,-87.70080444,60622,Landmark,None
Milwaukee & St Paul Bridge,N Branch Chgo River; Cherry Av; S of North Ave,,2007,Unknown,41.91036873,-87.65552219,60604,Landmark,None
Illinois Central Swing Bridge,San & Ship Canal; N of Stevenson Exp & E of Kedzie,,2007,Unknown,41.83242443,-87.70241367,60629,Landmark,None
Brewster Apartments,2800 N Pine Grove Av,1893,1982,Enoch Hill Turnock,41.93316396,-87.64158298,60657,Landmark,None
(Former) Belmont-Sheffield Trust & Savings Bldg,3150 N Sheffield Av,,2008,Unknown,41.93967875,-87.65444854,60657,Landmark,None
James Ward Public School,2703 S Shields Av,1874,2005,Johnson & Edelmann Add:1897;N. S. Patton,41.84319609,-87.63509231,60616,Landmark,None
American System-Built Houses,10410 S Hoyne Av,1917,1994,Frank Lloyd Wright,41.70419675,-87.67464799,60643,Landmark,None
Goldblatt Bros. Department Store,1613-1635 W Chicago av,1921,1998,Alfred S. Alshuler,41.89577179,-87.66827312,60622,Landmark,None
Stephen Foster House and Stable,12147 S Harvard Av; Chicago; IL,1900,1996,Frank Lloyd Wright,41.67280322,-87.63057375,60628,Landmark,None
Woman's Athletic Club,626 N Michigan av,1928,1991,Philip B. Maher,41.89358116,-87.62460102,60611,Landmark,None
Chicago Board of Trade Building,141 W Jackson Blvd,1930,1977,Holabird & Root,41.87773513,-87.63227115,60604,Landmark,None
Pittsfield Building,55 E Washington st,1927,2002,Graham; Anderson; Probst & White,41.88294695,-87.62571629,60602,Landmark,None
Mundelein College Skyscraper Building,1020 W Sheridan Rd,1930,2006,Joseph W McCarthy,41.99867594,-87.65655162,60660,Landmark,None
Marie Schock House,5749 W Race Av,1888,1999,Frederick Schock,41.88975861,-87.76971676,60644,Landmark,None
(Former) Engine Company 42 Firehouse,228 W Illinois St,,2007,Unknown,41.8910068,-87.63528245,60654,Landmark,None
Wood-Maxey-Boyd House,2801 S Prarie Av,1885,2003,John C. Cochrane,41.8432903,-87.61997676,60616,Landmark,None
Chicago & Northwestern Bridge,N Branch Chgo River; S of Kinzie & E of Canal St,,2007,Unknown,41.88851006,-87.63909924,60654,Landmark,None
Peoples Gas-Irving Park Neighborhood Store,4829 W Irving Park Rd,1926,1987,George Grant Elmslie & Herman V. von Holst,41.95309429,-87.74890384,60641,Landmark,None
Francis J. Dewes House,503 W Wrightwood Av,1896,1974,Adolph Cudell & Arthur Hercz,41.93034077,-87.64157423,60614,Landmark,None
Dearborn Street Station,47 W Polk St,1885,1982,Cyrus L. W. Eidlitz,41.87174055,-87.62910493,60605,Landmark,None
Wrigley Building,400-410 North Michigan Avenue,1921,2012,Graham; Anderson; Probst and White,41.88972563,-87.62485292,60611,Landmark,None
St. Gelasius Church Building,6401-09 S Woodlawn Ave,1923,2004,Henry J. Schlacks,41.77835168,-87.59576093,60637,Landmark,None
(Former) Calumet National Bank Bldg,9117 S Commercial Av,,2008,Unknown,41.72951124,-87.55084594,60617,Landmark,None
White Castle # 16,43 East Cermak Road,1930,2011,Lewis E. Russell,41.85263792,-87.62532982,60616,Landmark,None
Old Republic Building,307 N. Michigan Ave,1924,2010,K. M. Vitzthum and Company,41.88708645,-87.62418141,60601,Landmark,None
Trustees System Service Building,201 N Wells St,1929,2004,Thielbard & Fugard w/ Eugene&Gwen Lux;Edgar Miller,41.88604619,-87.63363399,60606,Landmark,None
Wrigley Field,1060 W Addison St,1914,2004,Zachary T. & Charles G. Davis,41.94814483,-87.65554259,60613,Landmark,None
(Former) Engine Company 35; Truck 28,1625 N Damen Av,18;9,2003,Board of Public Works; add: W. C. Zimmerman,41.91123781,-87.67714161,60647,Landmark,None
Allerton Hotel,701 N Michigan Av,1922,1998,Murgatroyd & Ogden with Fugard & Knapp,41.89520098,-87.62371376,60611,Landmark,None
Chicago & Illinois Western Bridge,Collateral Channel Water Lot D;33rd;E of Kedzie,,2007,Unknown,41.83403328,-87.70194285,60632,Landmark,None
Robert W. Roloson Houses,3213-19 S Calumet Av,1894,1979,Frank Lloyd Wright,41.83605095,-87.61786831,60616,Landmark,None
Engine Company 65; Truck 52,3000 W. 42nd St; Chicago; IL,1929,2003,Paul Gerhardt; Jr.,41.80373386,-87.73535704,60632,Landmark,None
Chicago Building,7 W Madison St,1905,1996,Holabird & Roche,41.88184956,-87.62817297,60602,Landmark,None
American System-Built Houses,10541 S Hoyne Av,1917,1994,Frank Lloyd Wright,41.7015922,-87.67382636,60643,Landmark,None
Continental And Commercial National Bank Building,208 South LaSalle St,,2007,Unknown,41.87907898,-87.63301185,60604,Landmark,None
Blackstone Library,4904 S. Lake Park Ave,1904,2011,Solon Spencer Beman,41.80582879,-87.59030595,60615,Landmark,None
Home Bank & Trust Company,1200-08 N Ashland Av / 1600-12 W Division St,,2008,Karl M. Vitzthum,41.9036108,-87.66796079,60622,Landmark,None
Metropolitan Missionary Baptist Church,2151 W Washington Blvd,1901,1989,Hugh M.G. Garden,41.88280034,-87.68124236,60612,Landmark,None
Noble-Seymour-Crippen House,5624 N Newark Av,1833,1988,addit 1863; Architects Unknown,41.98361513,-87.79584731,60631,Landmark,None
Roberts Temple Church of God in Christ Building,4021 S State St,1922,2006,Edward G. McClellan add:1927;unknown;remod:1992-93,41.82120993,-87.62591133,60609,Landmark,None
Soldiers' Home,739 E 35th St,1864,1996,William W. Boyington (1866 sect),41.83075107,-87.60747387,60616,Landmark,None
Madonna Della Strada Chapel,6453 N. Kenmore Avenue,1938,2004,Andrew N. Rebori,41.99955864,-87.6562472,60660,Landmark,None
Griffiths-Burroughs House,3806 S. Michigan Avenue,1892,2010,Solon S. Beman,41.82526647,-87.62366524,60653,Landmark,None
Assumption School,319 W Erie St,1899,2003,Frederick R. Foltz,41.8937173,-87.63651848,60654,Landmark,None
Main Building at Illinois Institute of Technology,3320 S Federal St,1891,2004,Patton & Fisher,41.8336805,-87.62922306,60616,Landmark,None
Whistle Stop Inn,4200 W Irving Park Rd,1889,1990,Architect Unknown,41.95381757,-87.7326763,60641,Landmark,None
Shedd Park Fieldhouse,3600 W 23rd St; Chicago; IL,1916,2004,William Drummond,41.85016619,-87.71706068,60623,Landmark,None
Brooks Building,233 W Jackson Blvd,1910,1997,Holabird & Roche,41.87787644,-87.63477822,60606,Landmark,None
Immaculata High School & Convent Buildings,640 W Irving Park Rd & 4030 N Marine Dr,1922,1983,Barry Byrne,41.95512134,-87.6462916,60613,Landmark,None
Chicago Theater,175 N State St,1921,1983,Rapp and Rapp,41.88538851,-87.62722322,60601,Landmark,None
Auditorium Building,430 S Michigan Av,1886,1976,Adler & Sullivan,41.87603942,-87.62516001,60605,Landmark,None
227 East Walton Place Apartment Building,227 East Walton Place,1956,2012,Harry Weese,41.89981429,-87.62077823,60611,Landmark,None
New Regal Theater,1641 E 79th st,1927,1992,John Eberson,41.75124738,-87.5835097,60649,Landmark,None
Engine Company 78,1052 W Waveland Av,1915,2003,Charles W. Kallal,41.94930082,-87.65656809,60613,Landmark,None
King-Nash House,3234 W Washington Blvd,1901,1988,George W. Maher,41.88305494,-87.70759499,60624,Landmark,None
(Former) Swedish American State Bank Bldg,5400 N Clark St,,2008,Unknown,41.97997886,-87.66855143,60640,Landmark,None
Stephen Race House,3945 N Tripp Av,1874,1988,Architect Unknown,41.95310186,-87.73367075,60641,Landmark,None
Pate-Comiskey House,5131 S Michigan Av,1901,2003,George Maher,41.80101655,-87.62214969,60615,Landmark,None
Heald Square Monument,Wacker Dr at Wabash Av,1936,1971,Lorado Taft & Leonrd Crunelle; Sculptors,41.88700528,-87.62692807,60601,Landmark,None
Kaufmann Store and Flats,2312-14 N Lincoln Av (S Half:1883;North Half:1887),1883,1996,Adler & Sullivan,41.92386743,-87.64707107,60614,Landmark,None
Yale Apartments,6565 S Yale Av; Chicago; IL,1892,2003,John T. Long,41.77470411,-87.63129622,60621,Landmark,None
Carl Schurz High School,3601 N Milwaukee Av,1910,1979,Dwight H. Perkins,41.9472703,-87.73563931,60641,Landmark,None
Gage Group,18;24; and 30 S Michigan Av,1899,1996,Louis H. Sullivan (18);Holabird & Roche (25 & 30),41.88132379,-87.62498015,60604,Landmark,None
Jewish People's Institute,3500 W Douglas Blvd,1927,2000,Klaber & Grunfeld,41.86325563,-87.71337292,60623,Landmark,None
(Former) Fullerton State Bank Bldg,1425 W Fullerton Av,,2008,Unknown,41.92494553,-87.66435202,60614,Landmark,None
McGraw-Hill Building,520 N Michigan Av,1928,1997,Thielbar & Fugard,41.89141092,-87.62489269,60611,Landmark,None
Site of the Sauganash Hotel/Wigwam,Lake St & Wacker Dr; Chicago; IL,1831,2002,Unknown,41.8853654,-87.63647275,60606,Landmark,None
Samuel M. Nickerson House,40 E Erie St,1883,1977,Burling & Whitehouse,41.89435058,-87.62653379,60611,Landmark,None
Third Unitarian Church Building,301 N Mayfield Av,1936,2008,Paul Schweikher; addit in 1956:William Fyfe,41.88587724,-87.77151773,60644,Landmark,None
"Garfield Boulevard 'L'"" Station and Overpass""",319 E Garfield Blvd,1892,2001,Myron Church,41.79373533,-87.61830365,60637,Landmark,None
(Former) Schlitz BreweryTied-House@958W.69th St.,958 W. 69th St.,1898,2011,Unknown,41.76900629,-87.64920136,60621,Landmark,None
Leiter II Building,403 S State St,1891,1997,William LeBaron Jenney,41.87633704,-87.62718672,60505,Landmark,None
Chapin and Gore Building,63 E Adams,1904,1982,Richard E. Schmidt and Hugh M.G. Garden,41.87932732,-87.62561478,60604,Landmark,None
Carson Pirie Scott & Company Building,1 S State St,1898,1970,Louis H. Sullivan; 1905-6:D.H. Burnham&Co.,41.88140588,-87.62698011,60603,Landmark,None
Albert F. Madlener House,4 W Burton Pl,1902,1973,Richard E. Schmidt & Hugh M.G. Garden,41.9096486,-87.62922179,60610,Landmark,None
Chicago & Western Indiana  Railroad Bridge,Calumet River; 126th St; W of Torrence Av,1967,2007,James Peterson,41.66934061,-87.55896435,60617,Landmark,None
Belle Shore Apartment Hotel,1062 W Bryn Mawr Av,1928,2002,Nathaniel Koenigsberg & Leon Weisfeld,41.98385069,-87.65762447,60660,Landmark,None
Site of the Origin of the Chicago Fire of 1871,Dekoven & Jefferson St; Chicago; IL,1871,1971,"comm sculpture;'Pillar of Fire'"" Egon Weiner 1961""",41.86927206,-87.64199072,60607,Landmark,None
Emil Bach House,7415 N Sheridan Road,1915,1977,Frank Lloyd Wright,42.01658291,-87.6647753,60626,Landmark,None
Field Building,135 S LaSalle St,1924,1994,Graham; Anderson; Probst & White,41.87976425,-87.63154777,60604,Landmark,None
Rookery Building,209 S LaSalle St,1885,1972,Burnham & Root,41.87907613,-87.63179743,60612,Landmark,None
Pulaski Park Fieldhouse,1419 W Blackhawk St,1912,2003,William Carbys Zimmerman,41.90648537,-87.66328365,60642,Landmark,None
Engine Company 45; Truck 15,4600 S Cottage Grove Av,1928,2003,Argyle E. Robinson,41.81118499,-87.6070024,60653,Landmark,None
London Guarantee Building,360 N Michigan Av,1922,1996,Alfred S. Alschuler,41.88795571,-87.62505786,60601,Landmark,None
McGill House,4938 S Drexel Blvd,1891,2006,Henry Ives Cobb,41.80486126,-87.60479119,60615,Landmark,None
Ludington Building,1104 S Wabash Av,1891,1996,William LeBaron Jenney,41.86900585,-87.62635497,60605,Landmark,None
(Former) Schlitz BreweryTied-House@3456SWestern,3456 S. Western Ave.,1899,2011,Kley & Lang,41.83042248,-87.68544494,60608,Landmark,None
Second Presbyterian Church,1928-1936 S Michigan Av,1874,1977,James Renwick Recon:1900;Howard Van Doren Shaw,41.85572488,-87.62435931,60616,Landmark,None
(Former) Schlitz Brewery-Tied House,5120 N. Broadway; Chicago; IL,1904,2011,Charles Thisslew,41.97522511,-87.66025837,60640,Landmark,None
Lorado Taft's Midway Studios,6016 S Ingleside Dr,1890,1993,Arch ?; recon:1929;O F Johnson Add:1964;E D Dart,41.78552641,-87.6032052,60637,Landmark,None
(Former) Sheridan Trust and Savings Bank Building,4753 N Broadway,1924,2008,Marshall & Fox; Huszagh & Hill,41.96862254,-87.65913012,60640,Landmark,None
"Pennsylvania 'Eight Track'"" Bridge""",San & Ship Canal; S of 31st & W of Western Av,,2007,Unknown,41.83707881,-87.68759544,60608,Landmark,None
Uptown Theater,4816 N Broadway,1925,1991,Rapp & Rapp,41.96952571,-87.66019567,60640,Landmark,None
Eighth Church of Christ; Scientist,4359 S Michigan Av,1911,1993,Leon E. Stanhope,41.81498777,-87.62250788,60653,Landmark,None
Chicago Harbor Lighthouse,S End of the North Breakwater;N side of Harbor Ent,1893,2003,Unknown,41.88927337,-87.59040947,60611,Landmark,None
Chess Records Office and Studio,2120 S Michigan Av,1911,1990,Horatio Wilson,41.85360644,-87.6242199,60616,Landmark,None
Isidore H. Heller House,5132 S Woodlawn Av,1897,1971,Frank Lloyd Wright,41.80140832,-87.5971117,60615,Landmark,None
St Ignatius College Prep Building,1076 W Roosevelt Rd,1869,1987,Toussaint Menard west add:1874;John P. Huber,41.86741856,-87.65412204,60608,Landmark,None
Gauler Twin House,5921 N Magnolia Av,1908,2000,Walter Burley Griffin,41.98970697,-87.66119344,60660,Landmark,None
Museum of Science and Industry,57th St and Lake Shore Dr,1891,1995,Charles B. Atwood,41.79054723,-87.58287466,60637,Landmark,None
Stephen A. Douglas Memorial,35th St and Cottage Grove Av,1881,1977,Leonard W. Volk,41.83162805,-87.60840332,60653,Landmark,None
Site of the 1st Self-Sustain Cont. Nuclear Chain,East Side of S Ellis Ave between 56th & 57th St,1942,1971,"Commern. sculpture;'Nuclear Energy'"" Henry Moore""",41.79216212,-87.6008699,60637,Landmark,None
Fisher Building,343 S Dearborn St,1896,1978,D.H. Burnham & Co. 1907:side add. Peter Weber,41.87719864,-87.62899138,60604,Landmark,None
