,artist,name,year_installed,address,zip_code,latitude,longitude,type,landmark_designation_date,description_of_artwork
69,"Skidmore, Owings & Merrill",Inland Steel Building,1957,30 W Monore St,60603,41.88107332,-87.62900319,Landmark,10/7/1998,
70,R. Bernard Kurzon,Riviera Motor Sales Company Building,0,5948-60 N. Braodway,60660,41.99064509,-87.66070278,Landmark,6/6/2012,
71,Frederick Schock,Schlecht House,1887,5804 W Race Av,60644,41.89038609,-87.7703988,Landmark,1/20/1999,
72,Dankmar Adler,Ebenezer Missionary Baptist Church Building,0,4501 S. Vincennes Ave,60653,41.81283645,-87.61357454,Landmark,7/28/2011,
73,George and William Keck,Keck-Gottschalk-Keck Apartments,1937,5551 S University Av,60637,41.79355086,-87.59770366,Landmark,8/3/1994,
74,Paul Frederick Olsen,6901 Oglesby Cooperative Apartment Building,0,6901 S Oglesby Av,60649,41.76959911,-87.56778516,Landmark,9/10/2008,
75,Frommann and Jebsen,(Former) Schlitz Brewery Stable Building,1906,11314 S. Front Ave.,60628,41.68855888,-87.61215287,Landmark,7/6/2011,
76,Ludwig Mies van der Rohe,860-880 Lake Shore Drive,0,860-880 N Lake Shore Dr,60611,41.89884251,-87.61885733,Landmark,6/10/1996,
77,,(Former) Hyde Park Bank,0,1515-1535 E 53rd St,60615,41.79932571,-87.58818688,Landmark,,
78,Frederick Schock,F. R. Schock House,1886,5804 W Midway Park,60644,41.88932169,-87.77022252,Landmark,1/20/1999,
79,"Major Alterations, 1894;Thomas Wing",John Raber House,1870,5760 S LaFayette Av,60621,41.78921937,-87.62695294,Landmark,4/16/1996,
80,Alexander L. Levy & William J. Klein,Bryn Mawr Apartment Hotel,0,5550 N Kenmore Av,60640,41.98331134,-87.65700296,Landmark,11/6/2002,
81,,Charles N. Loucks House,0,3926 N Keeler,60641,41.95260359,-87.73287873,Landmark,10/8/2008,
82,George W. Maher,Edwin Colvin House,1909,5940 N Sheridan Rd,60660,41.9903361,-87.65581666,Landmark,10/5/1994,
83,Pond & Pond,Northwestern University Settlement House,1901,1400 W Augusta Blvd,60642,41.90004273,-87.6628741,Landmark,12/1/1993,
84,"Graham, Anderson, Probst & White",Civic Opera Building,0,20 N Wacker Dr,60606,41.88253375,-87.637513,Landmark,2/5/1998,
85,"Paul Gerhardt, Jr.","Engine Company 84, Truck 51",1929,6204 S Green St,60621,41.78126631,-87.646397,Landmark,10/1/2003,
86,Edmund R. Krause,Majestic Building and Theater,1906,22 W Monore St,60603,41.88107856,-87.62857776,Landmark,5/11/2005,
87,Fritz Lang,(Former) Schlitz Brewery-Tied House@1801W.Division,0,1801 W. Division St.,60622,41.90301324,-87.67254145,Landmark,5/4/2011,
88,Alfred S. Alschulter,"Engine Company 5, Truck 2",1928,324 S DesPlaines Av,60436,41.87718066,-87.64430864,Landmark,10/1/2003,
89,Add. c. 1868-75 Architect Unknown,John Wingert House,1854,6231 N Canfield Av,60068,41.99430885,-87.82160659,Landmark,7/31/1990,
90,Unknown,Richard Nickel Studio,0,"1810 West Cortland St,",60622,41.91627982,-87.67324118,Landmark,6/9/2010,
91,,Old Chicago Coast Guard Station,0,250 North Breakwater Access,60601,41.88764075,-87.61019755,Landmark,12/12/2007,
92,Addison  and Fiedler,Germania Club Building,1889,108 W. Germania Place / 1538-1542 N. Clark St.,60610,41.91061324,-87.63207758,Landmark,1/13/2011,
93,Meyer & Cook with Northwestern Terra Cotta Co.,Laramie State Bank Building,0,5200 W Chicago Av,60651,41.89520776,-87.75583758,Landmark,6/14/1995,
94,Joseph A. Thain,Ida B. Wells-Barnett House,1889,3624 S Dr Martin Luther King Jr Dr,60616,41.82859199,-87.61773209,Landmark,10/2/1995,
95,"Bennett, Parsons & Frost with Jacques Lambert",Clarence Buckingham Memorial Fountain and Garden,1927,Grant Park at Congress Drive,60605,41.87579719,-87.61898793,Landmark,8/30/2000,
96,Philip B. Maher,Farwell Building,1927,664 N Michigan Ave,60611,41.89431494,-87.62462078,Landmark,3/10/2004,
97,William Presto ans Louis H. Sullivan,Krause Music Store,1922,4611 N Lincoln Av,60625,41.96533613,-87.68601082,Landmark,9/28/1977,
98,Samuel N. Corwen,Biograph Theater,1914,2433-43 N Lincoln Av,60614,41.92652071,-87.64975918,Landmark,3/28/2001,
99,,Roanoke Building and Tower,0,11 S LaSalle St,60603,41.88170712,-87.63195358,Landmark,12/12/2007,
100,Office of the United States Surveyor-General,Illinois-Indiana State Line Boundary Marker,1838,"Avenue G, near 103rd St",60617,41.70886467,-87.52622269,Landmark,9/4/2002,
101,,Veseman Building,0,444 N LaSalle St,60654,41.89047915,-87.63288949,Landmark,12/12/2007,
103,Alfred S. Alschuler,K.A.M. Isaiah Israel Temple,1924,1100 E Hyde Park Blvd,60615,41.80282583,-87.59861639,Landmark,6/9/1977,
104,,Site of the John & Mary Jones House,0,SW Corner of W 9th St & Plymouth Ct,60605,41.86979498,-87.62956097,Landmark,5/26/2004,
105,,IBM Building,0,330 North Wabash Av,60611,41.88861449,-87.62750766,Landmark,2/6/2008,
106,George W. Maher,John Rath House,1907,2703 W Logan Blvd,60647,41.92789833,-87.69530973,Landmark,12/1/1993,
107,J.E.O. Pridmore,Bush Temple of Music,1901,"100 W Chicago Av, Chicago, IL",60654,41.89690293,-87.63166847,Landmark,6/27/2001,
108,"Richard E. Schmidt,Garden & Martin w/ Jens Jenson",Humboldt Park Boathouse Pavilion,1907,"1301 N Humboldt Blvd, Chicago, IL",60622,41.90562148,-87.70080444,Landmark,11/13/1996,
109,,Milwaukee & St Paul Bridge,0,"N Branch Chgo River, Cherry Av, S of North Ave",60604,41.91036873,-87.65552219,Landmark,12/12/2007,
110,,Illinois Central Swing Bridge,0,"San & Ship Canal, N of Stevenson Exp & E of Kedzie",60629,41.83242443,-87.70241367,Landmark,12/12/2007,
111,Enoch Hill Turnock,Brewster Apartments,1893,2800 N Pine Grove Av,60657,41.93316396,-87.64158298,Landmark,10/6/1982,
112,,(Former) Belmont-Sheffield Trust & Savings Bldg,0,3150 N Sheffield Av,60657,41.93967875,-87.65444854,Landmark,7/9/2008,
114,Johnson & Edelmann Add:1897;N. S. Patton,James Ward Public School,0,2703 S Shields Av,60616,41.84319609,-87.63509231,Landmark,9/14/2005,
116,Frank Lloyd Wright,American System-Built Houses,1917,10410 S Hoyne Av,60643,41.70419675,-87.67464799,Landmark,7/13/1994,
117,Alfred S. Alshuler,Goldblatt Bros. Department Store,0,1613-1635 W Chicago av,60622,41.89577179,-87.66827312,Landmark,4/1/1998,
118,Frank Lloyd Wright,Stephen Foster House and Stable,1900,"12147 S Harvard Av, Chicago, IL",60628,41.67280322,-87.63057375,Landmark,5/9/1996,
119,Philip B. Maher,Woman's Athletic Club,1928,626 N Michigan av,60611,41.89358116,-87.62460102,Landmark,10/2/1991,
120,Holabird & Root,Chicago Board of Trade Building,1930,141 W Jackson Blvd,60604,41.87773513,-87.63227115,Landmark,5/4/1977,
121,"Graham, Anderson, Probst & White",Pittsfield Building,1927,55 E Washington st,60602,41.88294695,-87.62571629,Landmark,11/6/2002,
122,Joseph W McCarthy,Mundelein College Skyscraper Building,0,1020 W Sheridan Rd,60660,41.99867594,-87.65655162,Landmark,12/13/2006,
123,Frederick Schock,Marie Schock House,1888,5749 W Race Av,60644,41.88975861,-87.76971676,Landmark,1/20/1999,
124,,(Former) Engine Company 42 Firehouse,0,228 W Illinois St,60654,41.8910068,-87.63528245,Landmark,12/12/2007,
125,John C. Cochrane,Wood-Maxey-Boyd House,1885,2801 S Prarie Av,60616,41.8432903,-87.61997676,Landmark,10/1/2003,
126,,Chicago & Northwestern Bridge,0,"N Branch Chgo River, S of Kinzie & E of Canal St",60654,41.88851006,-87.63909924,Landmark,12/12/2007,
127,,(Former) Stock Yards National Bank Building,0,4150 S Halsted St,60609,41.81880899,-87.64629601,Landmark,,
128,George Grant Elmslie & Herman V. von Holst,Peoples Gas-Irving Park Neighborhood Store,1926,4829 W Irving Park Rd,60641,41.95309429,-87.74890384,Landmark,3/18/1987,
129,Adolph Cudell & Arthur Hercz,Francis J. Dewes House,1896,503 W Wrightwood Av,60614,41.93034077,-87.64157423,Landmark,6/12/1974,
130,Cyrus L. W. Eidlitz,Dearborn Street Station,1885,47 W Polk St,60605,41.87174055,-87.62910493,Landmark,3/2/1982,
131,"Graham, Anderson, Probst and White",Wrigley Building,1921,400-410 North Michigan Avenue,60611,41.88972563,-87.62485292,Landmark,5/9/2012,
132,Henry J. Schlacks,St. Gelasius Church Building,0,6401-09 S Woodlawn Ave,60637,41.77835168,-87.59576093,Landmark,1/14/2004,
133,,(Former) Calumet National Bank Bldg,0,9117 S Commercial Av,60617,41.72951124,-87.55084594,Landmark,7/9/2008,
134,Lewis E. Russell,White Castle # 16,1930,43 East Cermak Road,60616,41.85263792,-87.62532982,Landmark,10/5/2011,
135,K. M. Vitzthum and Company,Old Republic Building,1924,307 N. Michigan Ave,60601,41.88708645,-87.62418141,Landmark,12/8/2010,
136,"Thielbard & Fugard w/ Eugene&Gwen Lux,Edgar Miller",Trustees System Service Building,0,201 N Wells St,60606,41.88604619,-87.63363399,Landmark,1/14/2004,
137,Zachary T. & Charles G. Davis,Wrigley Field,1914,1060 W Addison St,60613,41.94814483,-87.65554259,Landmark,2/11/2004,
138,"Board of Public Works, add: W. C. Zimmerman","(Former) Engine Company 35, Truck 28",0,1625 N Damen Av,60647,41.91123781,-87.67714161,Landmark,10/1/2003,
139,Murgatroyd & Ogden with Fugard & Knapp,Allerton Hotel,1922,701 N Michigan Av,60611,41.89520098,-87.62371376,Landmark,4/29/1998,
140,,Chicago & Illinois Western Bridge,0,"Collateral Channel Water Lot D,33rd,E of Kedzie",60632,41.83403328,-87.70194285,Landmark,12/12/2007,
141,Frank Lloyd Wright,Robert W. Roloson Houses,1894,3213-19 S Calumet Av,60616,41.83605095,-87.61786831,Landmark,12/27/1979,
142,"Paul Gerhardt, Jr.","Engine Company 65, Truck 52",1929,"3000 W. 42nd St, Chicago, IL",60632,41.80373386,-87.73535704,Landmark,10/1/2003,
143,Holabird & Roche,Chicago Building,1905,7 W Madison St,60602,41.88184956,-87.62817297,Landmark,3/26/1996,
144,Frank Lloyd Wright,American System-Built Houses,1917,10541 S Hoyne Av,60643,41.7015922,-87.67382636,Landmark,7/13/1994,
145,,Continental And Commercial National Bank Building,0,208 South LaSalle St,60604,41.87907898,-87.63301185,Landmark,12/12/2007,
146,Solon Spencer Beman,Blackstone Library,1904,4904 S. Lake Park Ave,60615,41.80582879,-87.59030595,Landmark,1/13/2011,
147,Karl M. Vitzthum,Home Bank & Trust Company,0,1200-08 N Ashland Av / 1600-12 W Division St,60622,41.903610799999996,-87.66796079,Landmark,2/6/2008,
148,Hugh M.G. Garden,Metropolitan Missionary Baptist Church,1901,2151 W Washington Blvd,60612,41.88280034,-87.68124236,Landmark,2/16/1989,
149,"addit 1863, Architects Unknown",Noble-Seymour-Crippen House,1833,5624 N Newark Av,60631,41.98361513,-87.79584731,Landmark,5/11/1988,
150,"Edward G. McClellan add:1927,unknown,remod:1992-93",Roberts Temple Church of God in Christ Building,1922,4021 S State St,60609,41.82120993,-87.62591133,Landmark,3/29/2006,
151,William W. Boyington (1866 sect),Soldiers' Home,0,739 E 35th St,60616,41.83075107,-87.60747387,Landmark,4/16/1996,
153,Andrew N. Rebori,Madonna Della Strada Chapel,0,6453 N. Kenmore Avenue,60660,41.99955864,-87.65624720000001,Landmark,9/2/2004,
154,Solon S. Beman,Griffiths-Burroughs House,1892,3806 S. Michigan Avenue,60653,41.82526647,-87.62366524,Landmark,2/10/2010,
155,Frederick R. Foltz,Assumption School,1899,319 W Erie St,60654,41.89371729999999,-87.63651848,Landmark,7/9/2003,
156,,Lindemann and Hoverson Company,0,2620 W Washington Blvd,60612,41.88335059,-87.69187042,Landmark,,
157,Patton & Fisher,Main Building at Illinois Institute of Technology,0,3320 S Federal St,60616,41.8336805,-87.62922306,Landmark,5/26/2004,
158,Architect Unknown,Whistle Stop Inn,1889,4200 W Irving Park Rd,60641,41.95381757,-87.7326763,Landmark,12/5/1990,
159,William Drummond,Shedd Park Fieldhouse,0,"3600 W 23rd St, Chicago, IL",60623,41.85016619,-87.71706068,Landmark,2/11/2004,
160,Holabird & Roche,Brooks Building,1910,233 W Jackson Blvd,60606,41.87787644,-87.63477822,Landmark,1/14/1997,
161,Barry Byrne,Immaculata High School & Convent Buildings,1922,640 W Irving Park Rd & 4030 N Marine Dr,60613,41.95512134,-87.6462916,Landmark,7/27/1983,
162,Rapp and Rapp,Chicago Theater,1921,175 N State St,60601,41.88538851,-87.62722322,Landmark,1/28/1983,
163,Adler & Sullivan,Auditorium Building,0,430 S Michigan Av,60605,41.87603942,-87.62516001,Landmark,9/15/1976,
164,Harry Weese,227 East Walton Place Apartment Building,1956,227 East Walton Place,60611,41.89981429,-87.62077823,Landmark,5/9/2012,
165,John Eberson,New Regal Theater,1927,1641 E 79th st,60649,41.75124738,-87.58350970000001,Landmark,6/17/1992,
166,Charles W. Kallal,Engine Company 78,1915,1052 W Waveland Av,60613,41.94930082,-87.65656809,Landmark,10/1/2003,
167,George W. Maher,King-Nash House,1901,3234 W Washington Blvd,60624,41.88305494,-87.70759499,Landmark,2/10/1988,
168,,(Former) Swedish American State Bank Bldg,0,5400 N Clark St,60640,41.97997886,-87.66855143,Landmark,7/9/2008,
169,Architect Unknown,Stephen Race House,1874,3945 N Tripp Av,60641,41.95310186,-87.73367075,Landmark,9/22/1988,
170,George Maher,Pate-Comiskey House,1901,5131 S Michigan Av,60615,41.80101655,-87.62214969,Landmark,10/1/2003,
171,"Lorado Taft & Leonrd Crunelle, Sculptors",Heald Square Monument,0,Wacker Dr at Wabash Av,60601,41.88700528,-87.62692807,Landmark,9/15/1971,
172,Adler & Sullivan,Kaufmann Store and Flats,1883,2312-14 N Lincoln Av (S Half:1883;North Half:1887),60614,41.92386743,-87.64707107,Landmark,4/16/1996,
173,John T. Long,Yale Apartments,0,"6565 S Yale Av, Chicago, IL",60621,41.77470411,-87.63129622,Landmark,4/9/2003,
174,Dwight H. Perkins,Carl Schurz High School,1910,3601 N Milwaukee Av,60641,41.9472703,-87.73563931,Landmark,12/7/1979,
175,"Louis H. Sullivan (18),Holabird & Roche (25 & 30)",Gage Group,0,"18,24, and 30 S Michigan Av",60604,41.88132379,-87.62498015,Landmark,9/11/1996,
176,Klaber & Grunfeld,Jewish People's Institute,1927,3500 W Douglas Blvd,60623,41.86325563,-87.71337292,Landmark,6/28/2000,
177,,(Former) Fullerton State Bank Bldg,0,1425 W Fullerton Av,60614,41.92494553,-87.66435202,Landmark,7/9/2008,
178,Thielbar & Fugard,McGraw-Hill Building,0,520 N Michigan Av,60611,41.89141092,-87.62489269,Landmark,2/7/1997,
179,,Site of the Sauganash Hotel/Wigwam,1831,"Lake St & Wacker Dr, Chicago, IL",60606,41.8853654,-87.63647275,Landmark,11/6/2002,
180,Burling & Whitehouse,Samuel M. Nickerson House,1883,40 E Erie St,60611,41.89435058,-87.62653379,Landmark,9/28/1977,
181,"Paul Schweikher, addit in 1956:William Fyfe",Third Unitarian Church Building,1936,301 N Mayfield Av,60644,41.88587724,-87.77151773,Landmark,2/6/2008,
182,Myron Church,"Garfield Boulevard ""L"" Station and Overpass",1892,319 E Garfield Blvd,60637,41.79373533,-87.61830365,Landmark,12/12/2001,
183,Unknown,(Former) Schlitz BreweryTied-House@958W.69th St.,1898,958 W. 69th St.,60621,41.76900629,-87.64920136,Landmark,7/6/2011,
184,William LeBaron Jenney,Leiter II Building,1891,403 S State St,60505,41.87633704,-87.62718672,Landmark,1/14/1997,
185,Richard E. Schmidt and Hugh M.G. Garden,Chapin and Gore Building,1904,63 E Adams,60604,41.87932732,-87.62561478,Landmark,1/21/1982,
186,"Louis H. Sullivan, 1905-6:D.H. Burnham&Co.",Carson Pirie Scott & Company Building,0,1 S State St,60603,41.88140588,-87.62698011,Landmark,11/5/1970,
187,Richard E. Schmidt & Hugh M.G. Garden,Albert F. Madlener House,1902,4 W Burton Pl,60610,41.909648600000004,-87.62922179,Landmark,3/22/1973,
188,James Peterson,Chicago & Western Indiana  Railroad Bridge,0,"Calumet River, 126th St, W of Torrence Av",60617,41.66934061,-87.55896435,Landmark,12/12/2007,
189,Nathaniel Koenigsberg & Leon Weisfeld,Belle Shore Apartment Hotel,0,1062 W Bryn Mawr Av,60660,41.98385069,-87.65762447,Landmark,11/6/2002,
190,"comm sculpture,""Pillar of Fire"" Egon Weiner 1961",Site of the Origin of the Chicago Fire of 1871,1871,"Dekoven & Jefferson St, Chicago, IL",60607,41.86927206,-87.64199072,Landmark,9/15/1971,
191,Frank Lloyd Wright,Emil Bach House,1915,7415 N Sheridan Road,60626,42.01658291,-87.6647753,Landmark,9/28/1977,
192,"Graham, Anderson, Probst & White",Field Building,0,135 S LaSalle St,60604,41.87976425,-87.63154777,Landmark,2/9/1994,
193,Burnham & Root,Rookery Building,0,209 S LaSalle St,60612,41.87907613,-87.63179743,Landmark,7/5/1972,
194,William Carbys Zimmerman,Pulaski Park Fieldhouse,0,1419 W Blackhawk St,60642,41.90648537,-87.66328365,Landmark,7/29/2003,
195,Argyle E. Robinson,"Engine Company 45, Truck 15",1928,4600 S Cottage Grove Av,60653,41.81118499,-87.60700240000001,Landmark,10/1/2003,
196,Alfred S. Alschuler,London Guarantee Building,0,360 N Michigan Av,60601,41.88795571,-87.62505786,Landmark,4/16/1996,
197,Henry Ives Cobb,McGill House,1891,4938 S Drexel Blvd,60615,41.80486126,-87.60479119,Landmark,4/26/2006,
198,William LeBaron Jenney,Ludington Building,1891,1104 S Wabash Av,60605,41.86900585,-87.62635497,Landmark,6/10/1996,
199,Kley & Lang,(Former) Schlitz BreweryTied-House@3456SWestern,1899,3456 S. Western Ave.,60608,41.83042248,-87.68544494,Landmark,7/6/2011,
